,index,y
0,2009-01-03,1.0
1,2009-01-04,1.0
2,2009-01-05,1.0
3,2009-01-06,0.0
4,2009-01-07,0.0
5,2009-01-08,0.0
6,2009-01-09,1.0
7,2009-01-10,1.0
8,2009-01-11,1.0
9,2009-01-12,1.0
10,2009-01-13,1.0
11,2009-01-14,1.0
12,2009-01-15,1.0
13,2009-01-16,1.0
14,2009-01-17,1.0
15,2009-01-18,1.0
16,2009-01-19,1.0
17,2009-01-20,1.0
18,2009-01-21,1.0
19,2009-01-22,1.0
20,2009-01-23,1.0
21,2009-01-24,1.0
22,2009-01-25,1.0
23,2009-01-26,1.0
24,2009-01-27,1.0
25,2009-01-28,1.0
26,2009-01-29,1.0
27,2009-01-30,1.0
28,2009-01-31,1.0
29,2009-02-01,1.0
30,2009-02-02,1.0
31,2009-02-03,1.0
32,2009-02-04,1.0
33,2009-02-05,1.0
34,2009-02-06,1.0
35,2009-02-07,1.0
36,2009-02-08,1.0
37,2009-02-09,1.0
38,2009-02-10,1.0
39,2009-02-11,1.0
40,2009-02-12,1.0
41,2009-02-13,1.0
42,2009-02-14,1.0
43,2009-02-15,1.0
44,2009-02-16,1.0
45,2009-02-17,1.0
46,2009-02-18,1.0
47,2009-02-19,1.0
48,2009-02-20,1.0
49,2009-02-21,1.0
50,2009-02-22,1.0
51,2009-02-23,1.0
52,2009-02-24,1.0
53,2009-02-25,1.0
54,2009-02-26,1.0
55,2009-02-27,1.0
56,2009-02-28,1.0
57,2009-03-01,1.0
58,2009-03-02,1.0
59,2009-03-03,1.0
60,2009-03-04,1.0
61,2009-03-05,1.0
62,2009-03-06,1.0
63,2009-03-07,1.0
64,2009-03-08,1.0
65,2009-03-09,1.0
66,2009-03-10,1.0
67,2009-03-11,1.0
68,2009-03-12,1.0
69,2009-03-13,1.0
70,2009-03-14,1.0
71,2009-03-15,1.0
72,2009-03-16,1.0
73,2009-03-17,1.0
74,2009-03-18,1.0
75,2009-03-19,1.0
76,2009-03-20,1.0
77,2009-03-21,1.0
78,2009-03-22,1.0
79,2009-03-23,1.0
80,2009-03-24,1.0
81,2009-03-25,1.0
82,2009-03-26,1.0
83,2009-03-27,1.0
84,2009-03-28,1.0
85,2009-03-29,1.0
86,2009-03-30,1.0
87,2009-03-31,1.0
88,2009-04-01,1.0
89,2009-04-02,1.0
90,2009-04-03,1.0
91,2009-04-04,1.0
92,2009-04-05,1.0
93,2009-04-06,1.0
94,2009-04-07,1.0
95,2009-04-08,1.0
96,2009-04-09,1.0
97,2009-04-10,1.0
98,2009-04-11,1.0
99,2009-04-12,1.0
100,2009-04-13,1.0
101,2009-04-14,1.0
102,2009-04-15,1.0
103,2009-04-16,1.0
104,2009-04-17,1.0
105,2009-04-18,1.0
106,2009-04-19,1.0
107,2009-04-20,1.0
108,2009-04-21,1.0
109,2009-04-22,1.0
110,2009-04-23,1.0
111,2009-04-24,1.0
112,2009-04-25,1.0
113,2009-04-26,1.0
114,2009-04-27,1.0
115,2009-04-28,1.0
116,2009-04-29,1.0
117,2009-04-30,1.0
118,2009-05-01,1.0
119,2009-05-02,1.0
120,2009-05-03,1.0
121,2009-05-04,1.0
122,2009-05-05,1.0
123,2009-05-06,1.0
124,2009-05-07,1.0
125,2009-05-08,1.0
126,2009-05-09,1.0
127,2009-05-10,1.0
128,2009-05-11,1.0
129,2009-05-12,1.0
130,2009-05-13,1.0
131,2009-05-14,1.0
132,2009-05-15,1.0
133,2009-05-16,1.0
134,2009-05-17,1.0
135,2009-05-18,1.0
136,2009-05-19,1.0
137,2009-05-20,1.0
138,2009-05-21,1.0
139,2009-05-22,1.0
140,2009-05-23,1.0
141,2009-05-24,1.0
142,2009-05-25,1.0
143,2009-05-26,1.0
144,2009-05-27,1.0
145,2009-05-28,1.0
146,2009-05-29,1.0
147,2009-05-30,1.0
148,2009-05-31,1.0
149,2009-06-01,1.0
150,2009-06-02,1.0
151,2009-06-03,1.0
152,2009-06-04,1.0
153,2009-06-05,1.0
154,2009-06-06,1.0
155,2009-06-07,1.0
156,2009-06-08,1.0
157,2009-06-09,1.0
158,2009-06-10,1.0
159,2009-06-11,1.0
160,2009-06-12,1.0
161,2009-06-13,1.0
162,2009-06-14,1.0
163,2009-06-15,1.0
164,2009-06-16,1.0
165,2009-06-17,1.0
166,2009-06-18,1.0
167,2009-06-19,1.0
168,2009-06-20,1.0
169,2009-06-21,1.0
170,2009-06-22,1.0
171,2009-06-23,1.0
172,2009-06-24,1.0
173,2009-06-25,1.0
174,2009-06-26,1.0
175,2009-06-27,1.0
176,2009-06-28,1.0
177,2009-06-29,1.0
178,2009-06-30,1.0
179,2009-07-01,1.0
180,2009-07-02,1.0
181,2009-07-03,1.0
182,2009-07-04,1.0
183,2009-07-05,1.0
184,2009-07-06,1.0
185,2009-07-07,1.0
186,2009-07-08,1.0
187,2009-07-09,1.0
188,2009-07-10,1.0
189,2009-07-11,1.0
190,2009-07-12,1.0
191,2009-07-13,1.0
192,2009-07-14,1.0
193,2009-07-15,1.0
194,2009-07-16,1.0
195,2009-07-17,1.0
196,2009-07-18,1.0
197,2009-07-19,1.0
198,2009-07-20,1.0
199,2009-07-21,1.0
200,2009-07-22,1.0
201,2009-07-23,1.0
202,2009-07-24,1.0
203,2009-07-25,1.0
204,2009-07-26,1.0
205,2009-07-27,1.0
206,2009-07-28,1.0
207,2009-07-29,1.0
208,2009-07-30,1.0
209,2009-07-31,1.0
210,2009-08-01,1.0
211,2009-08-02,1.0
212,2009-08-03,1.0
213,2009-08-04,1.0
214,2009-08-05,1.0
215,2009-08-06,1.0
216,2009-08-07,1.0
217,2009-08-08,1.0
218,2009-08-09,1.0
219,2009-08-10,1.0
220,2009-08-11,1.0
221,2009-08-12,1.0
222,2009-08-13,1.0
223,2009-08-14,1.0
224,2009-08-15,1.0
225,2009-08-16,1.0
226,2009-08-17,1.0
227,2009-08-18,1.0
228,2009-08-19,1.0
229,2009-08-20,1.0
230,2009-08-21,1.0
231,2009-08-22,1.0
232,2009-08-23,1.0
233,2009-08-24,1.0
234,2009-08-25,1.0
235,2009-08-26,1.0
236,2009-08-27,1.0
237,2009-08-28,1.0
238,2009-08-29,1.0
239,2009-08-30,1.0
240,2009-08-31,1.0
241,2009-09-01,1.0
242,2009-09-02,1.0
243,2009-09-03,1.0
244,2009-09-04,1.0
245,2009-09-05,1.0
246,2009-09-06,1.0
247,2009-09-07,1.0
248,2009-09-08,1.0
249,2009-09-09,1.0
250,2009-09-10,1.0
251,2009-09-11,1.0
252,2009-09-12,1.0
253,2009-09-13,1.0
254,2009-09-14,1.0
255,2009-09-15,1.0
256,2009-09-16,1.0
257,2009-09-17,1.0
258,2009-09-18,1.0
259,2009-09-19,1.0
260,2009-09-20,1.0
261,2009-09-21,1.0
262,2009-09-22,1.0
263,2009-09-23,1.0
264,2009-09-24,1.0
265,2009-09-25,1.0
266,2009-09-26,1.0
267,2009-09-27,1.0
268,2009-09-28,1.0
269,2009-09-29,1.0
270,2009-09-30,1.0
271,2009-10-01,1.0
272,2009-10-02,1.0
273,2009-10-03,1.0
274,2009-10-04,1.0
275,2009-10-05,1.0
276,2009-10-06,1.0
277,2009-10-07,1.0
278,2009-10-08,1.0
279,2009-10-09,1.0
280,2009-10-10,1.0
281,2009-10-11,1.0
282,2009-10-12,1.0
283,2009-10-13,1.0
284,2009-10-14,1.0
285,2009-10-15,1.0
286,2009-10-16,1.0
287,2009-10-17,1.0
288,2009-10-18,1.0
289,2009-10-19,1.0
290,2009-10-20,1.0
291,2009-10-21,1.0
292,2009-10-22,1.0
293,2009-10-23,1.0
294,2009-10-24,1.0
295,2009-10-25,1.0
296,2009-10-26,1.0
297,2009-10-27,1.0
298,2009-10-28,1.0
299,2009-10-29,1.0
300,2009-10-30,1.0
301,2009-10-31,1.0
302,2009-11-01,1.0
303,2009-11-02,1.0
304,2009-11-03,1.0
305,2009-11-04,1.0
306,2009-11-05,1.0
307,2009-11-06,1.0
308,2009-11-07,1.0
309,2009-11-08,1.0
310,2009-11-09,1.0
311,2009-11-10,1.0
312,2009-11-11,1.0
313,2009-11-12,1.0
314,2009-11-13,1.0
315,2009-11-14,1.0
316,2009-11-15,1.0
317,2009-11-16,1.0
318,2009-11-17,1.0
319,2009-11-18,1.0
320,2009-11-19,1.0
321,2009-11-20,1.0
322,2009-11-21,1.0
323,2009-11-22,1.0
324,2009-11-23,1.0
325,2009-11-24,1.0
326,2009-11-25,1.0
327,2009-11-26,1.0
328,2009-11-27,1.0
329,2009-11-28,1.0
330,2009-11-29,1.0
331,2009-11-30,1.0
332,2009-12-01,1.0
333,2009-12-02,1.0
334,2009-12-03,1.0
335,2009-12-04,1.0
336,2009-12-05,1.0
337,2009-12-06,1.0
338,2009-12-07,1.0
339,2009-12-08,1.0
340,2009-12-09,1.0
341,2009-12-10,1.0
342,2009-12-11,1.0
343,2009-12-12,1.0
344,2009-12-13,1.0
345,2009-12-14,1.0
346,2009-12-15,1.0
347,2009-12-16,1.0
348,2009-12-17,1.0
349,2009-12-18,1.0
350,2009-12-19,1.0
351,2009-12-20,1.0
352,2009-12-21,1.0
353,2009-12-22,1.0
354,2009-12-23,1.0
355,2009-12-24,1.0
356,2009-12-25,1.0
357,2009-12-26,1.0
358,2009-12-27,1.0
359,2009-12-28,1.0
360,2009-12-29,1.0
361,2009-12-30,1.0
362,2009-12-31,1.0
363,2010-01-01,1.18289953431284
364,2010-01-02,1.18289953431284
365,2010-01-03,1.18289953431284
366,2010-01-04,1.18289953431284
367,2010-01-05,1.18289953431284
368,2010-01-06,1.18289953431284
369,2010-01-07,1.18289953431284
370,2010-01-08,1.18289953431284
371,2010-01-09,1.18289953431284
372,2010-01-10,1.18289953431284
373,2010-01-11,1.18289953431284
374,2010-01-12,1.18289953431284
375,2010-01-13,1.30506213159152
376,2010-01-14,1.30506213159152
377,2010-01-15,1.30506213159152
378,2010-01-16,1.30506213159152
379,2010-01-17,1.30506213159152
380,2010-01-18,1.30506213159152
381,2010-01-19,1.30506213159152
382,2010-01-20,1.30506213159152
383,2010-01-21,1.30506213159152
384,2010-01-22,1.30506213159152
385,2010-01-23,1.30506213159152
386,2010-01-24,1.30506213159152
387,2010-01-25,1.34422497077103
388,2010-01-26,1.34422497077103
389,2010-01-27,1.34422497077103
390,2010-01-28,1.34422497077103
391,2010-01-29,1.34422497077103
392,2010-01-30,1.34422497077103
393,2010-01-31,1.34422497077103
394,2010-02-01,1.34422497077103
395,2010-02-02,1.34422497077103
396,2010-02-03,1.34422497077103
397,2010-02-04,1.34422497077103
398,2010-02-05,1.34422497077103
399,2010-02-06,1.81864853614541
400,2010-02-07,1.81864853614541
401,2010-02-08,1.81864853614541
402,2010-02-09,1.81864853614541
403,2010-02-10,1.81864853614541
404,2010-02-11,1.81864853614541
405,2010-02-12,1.81864853614541
406,2010-02-13,1.81864853614541
407,2010-02-14,1.81864853614541
408,2010-02-15,2.52773821507236
409,2010-02-16,2.52773821507236
410,2010-02-17,2.52773821507236
411,2010-02-18,2.52773821507236
412,2010-02-19,2.52773821507236
413,2010-02-20,2.52773821507236
414,2010-02-21,2.52773821507236
415,2010-02-22,2.52773821507236
416,2010-02-23,2.52773821507236
417,2010-02-24,3.78117925203377
418,2010-02-25,3.78117925203377
419,2010-02-26,3.78117925203377
420,2010-02-27,3.78117925203377
421,2010-02-28,3.78117925203377
422,2010-03-01,3.78117925203377
423,2010-03-02,3.78117925203377
424,2010-03-03,3.78117925203377
425,2010-03-04,3.78117925203377
426,2010-03-05,3.78117925203377
427,2010-03-06,3.78117925203377
428,2010-03-07,3.78117925203377
429,2010-03-08,4.53108175007069
430,2010-03-09,4.53108175007069
431,2010-03-10,4.53108175007069
432,2010-03-11,4.53108175007069
433,2010-03-12,4.53108175007069
434,2010-03-13,4.53108175007069
435,2010-03-14,4.53108175007069
436,2010-03-15,4.53108175007069
437,2010-03-16,4.53108175007069
438,2010-03-17,4.53108175007069
439,2010-03-18,4.53108175007069
440,2010-03-19,4.53108175007069
441,2010-03-20,4.53108175007069
442,2010-03-21,4.53108175007069
443,2010-03-22,4.53108175007069
444,2010-03-23,4.56516291033707
445,2010-03-24,4.56516291033707
446,2010-03-25,4.56516291033707
447,2010-03-26,4.56516291033707
448,2010-03-27,4.56516291033707
449,2010-03-28,4.56516291033707
450,2010-03-29,4.56516291033707
451,2010-03-30,4.56516291033707
452,2010-03-31,4.56516291033707
453,2010-04-01,6.08547690600079
454,2010-04-02,6.08547690600079
455,2010-04-03,6.08547690600079
456,2010-04-04,6.08547690600079
457,2010-04-05,6.08547690600079
458,2010-04-06,6.08547690600079
459,2010-04-07,6.08547690600079
460,2010-04-08,6.08547690600079
461,2010-04-09,6.08547690600079
