,index,y
0,2009-01-17,109.0
1,2009-01-18,109.0
2,2009-01-19,109.0
3,2009-01-20,115.0
4,2009-01-21,115.0
5,2009-01-22,115.0
6,2009-01-23,86.0
7,2009-01-24,86.0
8,2009-01-25,86.0
9,2009-01-26,97.0
10,2009-01-27,97.0
11,2009-01-28,97.0
12,2009-01-29,122.0
13,2009-01-30,122.0
14,2009-01-31,122.0
15,2009-02-01,114.0
16,2009-02-02,114.0
17,2009-02-03,114.0
18,2009-02-04,119.0
19,2009-02-05,119.0
20,2009-02-06,119.0
21,2009-02-07,133.0
22,2009-02-08,133.0
23,2009-02-09,133.0
24,2009-02-10,120.0
25,2009-02-11,120.0
26,2009-02-12,120.0
27,2009-02-13,124.0
28,2009-02-14,124.0
29,2009-02-15,124.0
30,2009-02-16,123.0
31,2009-02-17,123.0
32,2009-02-18,123.0
33,2009-02-19,125.0
34,2009-02-20,125.0
35,2009-02-21,125.0
36,2009-02-22,125.0
37,2009-02-23,125.0
38,2009-02-24,125.0
39,2009-02-25,105.0
40,2009-02-26,105.0
41,2009-02-27,105.0
42,2009-02-28,100.0
43,2009-03-01,100.0
44,2009-03-02,100.0
45,2009-03-03,107.0
46,2009-03-04,107.0
47,2009-03-05,107.0
48,2009-03-06,117.0
49,2009-03-07,117.0
50,2009-03-08,117.0
51,2009-03-09,108.0
52,2009-03-10,108.0
53,2009-03-11,108.0
54,2009-03-12,119.0
55,2009-03-13,119.0
56,2009-03-14,119.0
57,2009-03-15,123.0
58,2009-03-16,123.0
59,2009-03-17,123.0
60,2009-03-18,116.0
61,2009-03-19,116.0
62,2009-03-20,116.0
63,2009-03-21,51.0
64,2009-03-22,51.0
65,2009-03-23,51.0
66,2009-03-24,105.0
67,2009-03-25,105.0
68,2009-03-26,105.0
69,2009-03-27,106.0
70,2009-03-28,106.0
71,2009-03-29,106.0
72,2009-03-30,120.0
73,2009-03-31,120.0
74,2009-04-01,120.0
75,2009-04-02,115.0
76,2009-04-03,115.0
77,2009-04-04,115.0
78,2009-04-05,132.0
79,2009-04-06,132.0
80,2009-04-07,132.0
81,2009-04-08,105.0
82,2009-04-09,105.0
83,2009-04-10,105.0
84,2009-04-11,121.0
85,2009-04-12,121.0
86,2009-04-13,121.0
87,2009-04-14,124.0
88,2009-04-15,124.0
89,2009-04-16,124.0
90,2009-04-17,112.0
91,2009-04-18,112.0
92,2009-04-19,112.0
93,2009-04-20,121.0
94,2009-04-21,121.0
95,2009-04-22,121.0
96,2009-04-23,75.0
97,2009-04-24,75.0
98,2009-04-25,75.0
99,2009-04-26,114.0
100,2009-04-27,114.0
101,2009-04-28,114.0
102,2009-04-29,129.0
103,2009-04-30,129.0
104,2009-05-01,129.0
105,2009-05-02,128.0
106,2009-05-03,128.0
107,2009-05-04,128.0
108,2009-05-05,136.0
109,2009-05-06,136.0
110,2009-05-07,136.0
111,2009-05-08,108.0
112,2009-05-09,108.0
113,2009-05-10,108.0
114,2009-05-11,121.0
115,2009-05-12,121.0
116,2009-05-13,121.0
117,2009-05-14,142.0
118,2009-05-15,142.0
119,2009-05-16,142.0
120,2009-05-17,127.0
121,2009-05-18,127.0
122,2009-05-19,127.0
123,2009-05-20,120.0
124,2009-05-21,120.0
125,2009-05-22,120.0
126,2009-05-23,31.0
127,2009-05-24,31.0
128,2009-05-25,31.0
129,2009-05-26,125.0
130,2009-05-27,125.0
131,2009-05-28,125.0
132,2009-05-29,107.0
133,2009-05-30,107.0
134,2009-05-31,107.0
135,2009-06-01,72.0
136,2009-06-02,72.0
137,2009-06-03,72.0
138,2009-06-04,65.0
139,2009-06-05,65.0
140,2009-06-06,65.0
141,2009-06-07,16.0
142,2009-06-08,16.0
143,2009-06-09,16.0
144,2009-06-10,82.0
145,2009-06-11,82.0
146,2009-06-12,82.0
147,2009-06-13,78.0
148,2009-06-14,78.0
149,2009-06-15,78.0
150,2009-06-16,71.0
151,2009-06-17,71.0
152,2009-06-18,71.0
153,2009-06-19,87.0
154,2009-06-20,87.0
155,2009-06-21,87.0
156,2009-06-22,77.0
157,2009-06-23,77.0
158,2009-06-24,77.0
159,2009-06-25,69.0
160,2009-06-26,69.0
161,2009-06-27,69.0
162,2009-06-28,47.0
163,2009-06-29,47.0
164,2009-06-30,47.0
165,2009-07-01,75.0
166,2009-07-02,75.0
167,2009-07-03,75.0
168,2009-07-04,89.0
169,2009-07-05,89.0
170,2009-07-06,89.0
171,2009-07-07,69.0
172,2009-07-08,69.0
173,2009-07-09,69.0
174,2009-07-10,81.0
175,2009-07-11,81.0
176,2009-07-12,81.0
177,2009-07-13,78.0
178,2009-07-14,78.0
179,2009-07-15,78.0
180,2009-07-16,71.0
181,2009-07-17,71.0
182,2009-07-18,71.0
183,2009-07-19,69.0
184,2009-07-20,69.0
185,2009-07-21,69.0
186,2009-07-22,61.0
187,2009-07-23,61.0
188,2009-07-24,61.0
189,2009-07-25,33.0
190,2009-07-26,33.0
191,2009-07-27,33.0
192,2009-07-28,41.0
193,2009-07-29,41.0
194,2009-07-30,41.0
195,2009-07-31,17.0
196,2009-08-01,17.0
197,2009-08-02,17.0
198,2009-08-03,12.0
199,2009-08-04,12.0
200,2009-08-05,12.0
201,2009-08-06,90.0
202,2009-08-07,90.0
203,2009-08-08,90.0
204,2009-08-09,101.0
205,2009-08-10,101.0
206,2009-08-11,101.0
207,2009-08-12,63.0
208,2009-08-13,63.0
209,2009-08-14,63.0
210,2009-08-15,26.0
211,2009-08-16,26.0
212,2009-08-17,26.0
213,2009-08-18,9.0
214,2009-08-19,9.0
215,2009-08-20,9.0
216,2009-08-21,13.0
217,2009-08-22,13.0
218,2009-08-23,13.0
219,2009-08-24,15.0
220,2009-08-25,15.0
221,2009-08-26,15.0
222,2009-08-27,29.0
223,2009-08-28,29.0
224,2009-08-29,29.0
225,2009-08-30,98.0
226,2009-08-31,98.0
227,2009-09-01,98.0
228,2009-09-02,65.0
229,2009-09-03,65.0
230,2009-09-04,65.0
231,2009-09-05,76.0
232,2009-09-06,76.0
233,2009-09-07,76.0
234,2009-09-08,69.0
235,2009-09-09,69.0
236,2009-09-10,69.0
237,2009-09-11,67.0
238,2009-09-12,67.0
239,2009-09-13,67.0
240,2009-09-14,74.0
241,2009-09-15,74.0
242,2009-09-16,74.0
243,2009-09-17,85.0
244,2009-09-18,85.0
245,2009-09-19,85.0
246,2009-09-20,78.0
247,2009-09-21,78.0
248,2009-09-22,78.0
249,2009-09-23,35.0
250,2009-09-24,35.0
251,2009-09-25,35.0
252,2009-09-26,100.0
253,2009-09-27,100.0
254,2009-09-28,100.0
255,2009-09-29,90.0
256,2009-09-30,90.0
257,2009-10-01,90.0
258,2009-10-02,73.0
259,2009-10-03,73.0
260,2009-10-04,73.0
261,2009-10-05,55.0
262,2009-10-06,55.0
263,2009-10-07,55.0
264,2009-10-08,70.0
265,2009-10-09,70.0
266,2009-10-10,70.0
267,2009-10-11,74.0
268,2009-10-12,74.0
269,2009-10-13,74.0
270,2009-10-14,69.0
271,2009-10-15,69.0
272,2009-10-16,69.0
273,2009-10-17,57.0
274,2009-10-18,57.0
275,2009-10-19,57.0
276,2009-10-20,96.0
277,2009-10-21,96.0
278,2009-10-22,96.0
279,2009-10-23,89.0
280,2009-10-24,89.0
281,2009-10-25,89.0
282,2009-10-26,71.0
283,2009-10-27,71.0
284,2009-10-28,71.0
285,2009-10-29,47.0
286,2009-10-30,47.0
287,2009-10-31,47.0
288,2009-11-01,25.0
289,2009-11-02,25.0
290,2009-11-03,25.0
291,2009-11-04,64.0
292,2009-11-05,64.0
293,2009-11-06,64.0
294,2009-11-07,69.0
295,2009-11-08,69.0
296,2009-11-09,69.0
297,2009-11-10,78.0
298,2009-11-11,78.0
299,2009-11-12,78.0
300,2009-11-13,83.0
301,2009-11-14,83.0
302,2009-11-15,83.0
303,2009-11-16,97.0
304,2009-11-17,97.0
305,2009-11-18,97.0
306,2009-11-19,72.0
307,2009-11-20,72.0
308,2009-11-21,72.0
309,2009-11-22,106.0
310,2009-11-23,106.0
311,2009-11-24,106.0
312,2009-11-25,90.0
313,2009-11-26,90.0
314,2009-11-27,90.0
315,2009-11-28,71.0
316,2009-11-29,71.0
317,2009-11-30,71.0
318,2009-12-01,74.0
319,2009-12-02,74.0
320,2009-12-03,74.0
321,2009-12-04,36.0
322,2009-12-05,36.0
323,2009-12-06,36.0
324,2009-12-07,112.0
325,2009-12-08,112.0
326,2009-12-09,112.0
327,2009-12-10,104.0
328,2009-12-11,104.0
329,2009-12-12,104.0
330,2009-12-13,114.0
331,2009-12-14,114.0
332,2009-12-15,114.0
333,2009-12-16,137.0
334,2009-12-17,137.0
335,2009-12-18,137.0
336,2009-12-19,199.0
337,2009-12-20,199.0
338,2009-12-21,199.0
339,2009-12-22,162.0
340,2009-12-23,162.0
341,2009-12-24,162.0
342,2009-12-25,150.0
343,2009-12-26,150.0
344,2009-12-27,150.0
345,2009-12-28,137.0
346,2009-12-29,137.0
347,2009-12-30,137.0
348,2009-12-31,138.0
349,2010-01-01,138.0
350,2010-01-02,138.0
351,2010-01-03,186.0
352,2010-01-04,186.0
353,2010-01-05,186.0
354,2010-01-06,163.0
355,2010-01-07,163.0
356,2010-01-08,163.0
357,2010-01-09,151.0
358,2010-01-10,151.0
359,2010-01-11,151.0
360,2010-01-12,161.0
361,2010-01-13,161.0
362,2010-01-14,161.0
363,2010-01-15,142.0
364,2010-01-16,142.0
365,2010-01-17,142.0
366,2010-01-18,126.0
367,2010-01-19,126.0
368,2010-01-20,126.0
369,2010-01-21,184.0
370,2010-01-22,184.0
371,2010-01-23,184.0
372,2010-01-24,155.0
373,2010-01-25,155.0
374,2010-01-26,155.0
375,2010-01-27,166.0
376,2010-01-28,166.0
377,2010-01-29,166.0
378,2010-01-30,214.0
379,2010-01-31,214.0
380,2010-02-01,214.0
381,2010-02-02,146.0
382,2010-02-03,146.0
383,2010-02-04,146.0
384,2010-02-05,227.0
385,2010-02-06,227.0
386,2010-02-07,227.0
387,2010-02-08,208.0
388,2010-02-09,208.0
389,2010-02-10,208.0
390,2010-02-11,174.0
391,2010-02-12,174.0
392,2010-02-13,174.0
393,2010-02-14,219.0
394,2010-02-15,219.0
395,2010-02-16,219.0
396,2010-02-17,250.0
397,2010-02-18,250.0
398,2010-02-19,250.0
399,2010-02-20,210.0
400,2010-02-21,210.0
401,2010-02-22,210.0
402,2010-02-23,251.0
403,2010-02-24,251.0
404,2010-02-25,251.0
405,2010-02-26,176.0
406,2010-02-27,176.0
407,2010-02-28,176.0
408,2010-03-01,199.0
409,2010-03-02,199.0
410,2010-03-03,199.0
411,2010-03-04,188.0
412,2010-03-05,188.0
413,2010-03-06,188.0
414,2010-03-07,183.0
415,2010-03-08,183.0
416,2010-03-09,183.0
417,2010-03-10,169.0
418,2010-03-11,169.0
419,2010-03-12,169.0
420,2010-03-13,154.0
421,2010-03-14,154.0
422,2010-03-15,154.0
423,2010-03-16,129.0
424,2010-03-17,129.0
425,2010-03-18,129.0
426,2010-03-19,162.0
427,2010-03-20,162.0
428,2010-03-21,162.0
429,2010-03-22,186.0
430,2010-03-23,186.0
431,2010-03-24,186.0
432,2010-03-25,202.0
433,2010-03-26,202.0
434,2010-03-27,202.0
435,2010-03-28,192.0
436,2010-03-29,192.0
437,2010-03-30,192.0
438,2010-03-31,214.0
439,2010-04-01,214.0
440,2010-04-02,214.0
441,2010-04-03,166.0
442,2010-04-04,166.0
443,2010-04-05,166.0
444,2010-04-06,174.0
445,2010-04-07,174.0
446,2010-04-08,174.0
447,2010-04-09,224.0
448,2010-04-10,224.0
449,2010-04-11,224.0
450,2010-04-12,247.0
451,2010-04-13,247.0
452,2010-04-14,247.0
453,2010-04-15,290.0
454,2010-04-16,290.0
455,2010-04-17,290.0
456,2010-04-18,3351.0
457,2010-04-19,3351.0
458,2010-04-20,3351.0
459,2010-04-21,251.0
460,2010-04-22,251.0
461,2010-04-23,251.0
462,2010-04-24,202.0
463,2010-04-25,202.0
464,2010-04-26,202.0
465,2010-04-27,233.0
466,2010-04-28,233.0
467,2010-04-29,233.0
468,2010-04-30,170.0
469,2010-05-01,170.0
470,2010-05-02,170.0
471,2010-05-03,188.0
472,2010-05-04,188.0
473,2010-05-05,188.0
474,2010-05-06,177.0
475,2010-05-07,177.0
476,2010-05-08,177.0
477,2010-05-09,183.0
478,2010-05-10,183.0
479,2010-05-11,183.0
480,2010-05-12,158.0
481,2010-05-13,158.0
482,2010-05-14,158.0
483,2010-05-15,113.0
484,2010-05-16,113.0
485,2010-05-17,113.0
486,2010-05-18,223.0
487,2010-05-19,223.0
488,2010-05-20,223.0
489,2010-05-21,235.0
490,2010-05-22,235.0
491,2010-05-23,235.0
492,2010-05-24,250.0
493,2010-05-25,250.0
494,2010-05-26,250.0
495,2010-05-27,267.0
496,2010-05-28,267.0
497,2010-05-29,267.0
498,2010-05-30,200.0
499,2010-05-31,200.0
500,2010-06-01,200.0
501,2010-06-02,194.0
502,2010-06-03,194.0
503,2010-06-04,194.0
504,2010-06-05,190.0
505,2010-06-06,190.0
506,2010-06-07,190.0
507,2010-06-08,223.0
508,2010-06-09,223.0
509,2010-06-10,223.0
510,2010-06-11,247.0
511,2010-06-12,247.0
512,2010-06-13,247.0
513,2010-06-14,258.0
514,2010-06-15,258.0
515,2010-06-16,258.0
516,2010-06-17,204.0
517,2010-06-18,204.0
518,2010-06-19,204.0
519,2010-06-20,228.0
520,2010-06-21,228.0
521,2010-06-22,228.0
522,2010-06-23,257.0
523,2010-06-24,257.0
524,2010-06-25,257.0
525,2010-06-26,201.0
526,2010-06-27,201.0
527,2010-06-28,201.0
528,2010-06-29,264.0
529,2010-06-30,264.0
530,2010-07-01,264.0
531,2010-07-02,242.0
532,2010-07-03,242.0
533,2010-07-04,242.0
534,2010-07-05,251.0
535,2010-07-06,251.0
536,2010-07-07,251.0
537,2010-07-08,223.0
538,2010-07-09,223.0
539,2010-07-10,223.0
540,2010-07-11,353.0
541,2010-07-12,353.0
542,2010-07-13,353.0
543,2010-07-14,6132.0
544,2010-07-15,6132.0
545,2010-07-16,6132.0
546,2010-07-17,408.0
547,2010-07-18,408.0
548,2010-07-19,408.0
549,2010-07-20,594.0
550,2010-07-21,594.0
551,2010-07-22,594.0
552,2010-07-23,411.0
553,2010-07-24,411.0
554,2010-07-25,411.0
555,2010-07-26,467.0
556,2010-07-27,467.0
557,2010-07-28,467.0
558,2010-07-29,1867.0
559,2010-07-30,1867.0
560,2010-07-31,1867.0
561,2010-08-01,364.0
562,2010-08-02,364.0
563,2010-08-03,364.0
564,2010-08-04,439.0
565,2010-08-05,439.0
566,2010-08-06,439.0
567,2010-08-07,273.0
568,2010-08-08,273.0
569,2010-08-09,273.0
570,2010-08-10,340.0
571,2010-08-11,340.0
572,2010-08-12,340.0
573,2010-08-13,516.0
574,2010-08-14,516.0
575,2010-08-15,516.0
576,2010-08-16,453.0
577,2010-08-17,453.0
578,2010-08-18,453.0
579,2010-08-19,325.0
580,2010-08-20,325.0
581,2010-08-21,325.0
582,2010-08-22,366.0
583,2010-08-23,366.0
584,2010-08-24,366.0
585,2010-08-25,365.0
586,2010-08-26,365.0
587,2010-08-27,365.0
588,2010-08-28,339.0
589,2010-08-29,339.0
590,2010-08-30,339.0
591,2010-08-31,441.0
592,2010-09-01,441.0
593,2010-09-02,441.0
594,2010-09-03,319.0
595,2010-09-04,319.0
596,2010-09-05,319.0
597,2010-09-06,278.0
598,2010-09-07,278.0
599,2010-09-08,278.0
600,2010-09-09,324.0
601,2010-09-10,324.0
602,2010-09-11,324.0
603,2010-09-12,379.0
604,2010-09-13,379.0
605,2010-09-14,379.0
606,2010-09-15,430.0
607,2010-09-16,430.0
608,2010-09-17,430.0
609,2010-09-18,399.0
610,2010-09-19,399.0
611,2010-09-20,399.0
612,2010-09-21,810.0
613,2010-09-22,810.0
614,2010-09-23,810.0
615,2010-09-24,501.0
616,2010-09-25,501.0
617,2010-09-26,501.0
618,2010-09-27,603.0
619,2010-09-28,603.0
620,2010-09-29,603.0
621,2010-09-30,365.0
622,2010-10-01,365.0
623,2010-10-02,365.0
624,2010-10-03,377.0
625,2010-10-04,377.0
626,2010-10-05,377.0
627,2010-10-06,407.0
628,2010-10-07,407.0
629,2010-10-08,407.0
630,2010-10-09,401.0
631,2010-10-10,401.0
632,2010-10-11,401.0
633,2010-10-12,352.0
634,2010-10-13,352.0
635,2010-10-14,352.0
636,2010-10-15,328.0
637,2010-10-16,328.0
638,2010-10-17,328.0
639,2010-10-18,579.0
640,2010-10-19,579.0
641,2010-10-20,579.0
642,2010-10-21,552.0
643,2010-10-22,552.0
644,2010-10-23,552.0
645,2010-10-24,552.0
646,2010-10-25,552.0
647,2010-10-26,552.0
648,2010-10-27,568.0
649,2010-10-28,568.0
650,2010-10-29,568.0
651,2010-10-30,426.0
652,2010-10-31,426.0
653,2010-11-01,426.0
654,2010-11-02,286.0
655,2010-11-03,286.0
656,2010-11-04,286.0
657,2010-11-05,442.0
658,2010-11-06,442.0
659,2010-11-07,442.0
660,2010-11-08,515.0
661,2010-11-09,515.0
662,2010-11-10,515.0
663,2010-11-11,395.0
664,2010-11-12,395.0
665,2010-11-13,395.0
666,2010-11-14,416.0
667,2010-11-15,416.0
668,2010-11-16,416.0
669,2010-11-17,435.0
670,2010-11-18,435.0
671,2010-11-19,435.0
672,2010-11-20,9731.0
673,2010-11-21,9731.0
674,2010-11-22,9731.0
675,2010-11-23,341.0
676,2010-11-24,341.0
677,2010-11-25,341.0
678,2010-11-26,1314.0
679,2010-11-27,1314.0
680,2010-11-28,1314.0
681,2010-11-29,454.0
682,2010-11-30,454.0
683,2010-12-01,454.0
684,2010-12-02,460.0
685,2010-12-03,460.0
686,2010-12-04,460.0
687,2010-12-05,434.0
688,2010-12-06,434.0
689,2010-12-07,434.0
690,2010-12-08,523.0
691,2010-12-09,523.0
692,2010-12-10,523.0
693,2010-12-11,550.0
694,2010-12-12,550.0
695,2010-12-13,550.0
696,2010-12-14,637.0
697,2010-12-15,637.0
698,2010-12-16,637.0
699,2010-12-17,462.0
700,2010-12-18,462.0
701,2010-12-19,462.0
702,2010-12-20,932.0
703,2010-12-21,932.0
704,2010-12-22,932.0
705,2010-12-23,519.0
706,2010-12-24,519.0
707,2010-12-25,519.0
708,2010-12-26,584.0
709,2010-12-27,584.0
710,2010-12-28,584.0
711,2010-12-29,513.0
712,2010-12-30,513.0
713,2010-12-31,513.0
714,2011-01-01,659.0
715,2011-01-02,659.0
716,2011-01-03,659.0
717,2011-01-04,979.0
718,2011-01-05,979.0
719,2011-01-06,979.0
720,2011-01-07,1020.0
721,2011-01-08,1020.0
722,2011-01-09,1020.0
723,2011-01-10,1312.0
724,2011-01-11,1312.0
725,2011-01-12,1312.0
726,2011-01-13,1266.0
727,2011-01-14,1266.0
728,2011-01-15,1266.0
729,2011-01-16,931.0
730,2011-01-17,931.0
731,2011-01-18,931.0
732,2011-01-19,917.0
733,2011-01-20,917.0
734,2011-01-21,917.0
735,2011-01-22,1422.0
736,2011-01-23,1422.0
737,2011-01-24,1422.0
738,2011-01-25,889.0
739,2011-01-26,889.0
740,2011-01-27,889.0
741,2011-01-28,1081.0
742,2011-01-29,1081.0
743,2011-01-30,1081.0
744,2011-01-31,1393.0
745,2011-02-01,1393.0
746,2011-02-02,1393.0
747,2011-02-03,789.0
748,2011-02-04,789.0
749,2011-02-05,789.0
750,2011-02-06,909.0
751,2011-02-07,909.0
752,2011-02-08,909.0
753,2011-02-09,1227.0
754,2011-02-10,1227.0
755,2011-02-11,1227.0
756,2011-02-12,1912.0
757,2011-02-13,1912.0
758,2011-02-14,1912.0
759,2011-02-15,2224.0
760,2011-02-16,2224.0
761,2011-02-17,2224.0
762,2011-02-18,2056.0
763,2011-02-19,2056.0
764,2011-02-20,2056.0
765,2011-02-21,1970.0
766,2011-02-22,1970.0
767,2011-02-23,1970.0
768,2011-02-24,2109.0
769,2011-02-25,2109.0
770,2011-02-26,2109.0
771,2011-02-27,2269.0
772,2011-02-28,2269.0
773,2011-03-01,2269.0
774,2011-03-02,2009.0
775,2011-03-03,2009.0
776,2011-03-04,2009.0
777,2011-03-05,2048.0
778,2011-03-06,2048.0
779,2011-03-07,2048.0
780,2011-03-08,2440.0
781,2011-03-09,2440.0
782,2011-03-10,2440.0
783,2011-03-11,1884.0
784,2011-03-12,1884.0
785,2011-03-13,1884.0
786,2011-03-14,2643.0
787,2011-03-15,2643.0
788,2011-03-16,2643.0
789,2011-03-17,3367.0
790,2011-03-18,3367.0
791,2011-03-19,3367.0
792,2011-03-20,4076.0
793,2011-03-21,4076.0
794,2011-03-22,4076.0
795,2011-03-23,4570.0
796,2011-03-24,4570.0
797,2011-03-25,4570.0
798,2011-03-26,3335.0
799,2011-03-27,3335.0
800,2011-03-28,3335.0
801,2011-03-29,2718.0
802,2011-03-30,2718.0
803,2011-03-31,2718.0
804,2011-04-01,1579.0
805,2011-04-02,1579.0
806,2011-04-03,1579.0
807,2011-04-04,2309.0
808,2011-04-05,2309.0
809,2011-04-06,2309.0
810,2011-04-07,1677.0
811,2011-04-08,1677.0
